Battery,Fast_charge,Price.DE.,Range,Top_speed,CO2_savings_total
50.8,480.0,40050.0,300,150,21.0
75.8,840.0,67264.284789644,400,200,28.0
45.4,240.0,38990.0,260,160,18.2
76.6,550.0,67264.284789644,385,180,26.95
76.5,440.0,67264.284789644,320,200,22.4
107.0,640.0,88600.0,490,210,34.3
70.0,380.0,50990.0,350,200,24.5
49.0,250.0,33990.0,265,175,18.55
77.0,640.0,67264.284789644,430,180,30.1
64.0,470.0,57390.0,315,160,22.05
89.0,660.0,74400.0,425,200,29.75
63.0,450.0,47490.0,335,160,23.45
54.0,750.0,46990.0,305,185,21.35
118.0,840.0,57833.3444159492,665,270,46.55
107.0,610.0,57833.3444159492,465,180,32.55
66.5,580.0,50777.0,405,160,28.35
90.0,310.0,71626.0,310,160,21.7
70.5,540.0,81900.0,400,200,28.0
91.0,390.0,65900.0,445,180,31.15
52.0,360.0,40335.0,285,160,19.95
123.0,520.0,89790.0,520,200,36.4
90.0,520.0,68500.0,500,200,35.0
77.0,660.0,51150.0,440,180,30.8
93.1,1020.0,67264.284789644,490,200,34.3
79.0,600.0,61400.0,400,180,28.0
75.0,480.0,41560.0,380,160,26.6
96.0,630.0,99841.0,455,210,31.85
49.0,440.0,36900.0,310,170,21.7
72.6,460.0,55800.0,380,180,26.6
79.0,630.0,54450.0,420,180,29.4
84.7,360.0,92400.0,380,200,26.6
77.0,680.0,63300.0,455,180,31.85
82.7,650.0,67264.284789644,465,200,32.55
106.5,630.0,69950.0,530,205,37.1
89.0,660.0,67187.0,525,210,36.75
28.5,180.0,39900.0,170,145,11.9
109.0,950.0,57833.3444159492,455,260,31.85
62.0,510.0,50990.0,330,180,23.1
50.8,450.0,45765.0,300,150,21.0
89.0,540.0,67264.284789644,425,210,29.75
108.4,750.0,57833.3444159492,500,210,35.0
44.9,260.0,32740.0,255,160,17.85
48.1,490.0,38045.0,315,150,22.05
56.0,330.0,40490.0,290,156,20.3
77.0,630.0,49020.0,425,180,29.75
66.5,500.0,67264.284789644,350,160,24.5
40.0,370.0,42000.0,260,150,18.2
47.0,330.0,37490.0,255,180,17.85
50.8,470.0,41540.0,330,150,23.1
92.0,970.0,57833.3444159492,580,250,40.6
77.0,670.0,67264.284789644,450,180,31.5
107.0,590.0,57833.3444159492,450,180,31.5
46.3,430.0,67264.284789644,270,150,18.9
77.0,630.0,53255.0,420,180,29.4
66.5,510.0,56424.0,355,160,24.85
77.0,700.0,53400.0,470,180,32.9
70.5,600.0,52205.0,430,160,30.1
74.0,1020.0,67264.284789644,390,185,27.3
108.4,880.0,57833.3444159492,590,210,41.3
45.0,230.0,39300.0,220,132,15.4
48.1,480.0,36775.0,310,150,21.7
60.0,380.0,39563.0,315,150,22.05
48.4,280.0,41990.0,290,160,20.3
77.0,590.0,59000.0,395,180,27.65
93.1,990.0,67264.284789644,475,200,33.25
76.6,660.0,67264.284789644,425,160,29.75
90.0,530.0,90900.0,505,200,35.35
66.5,500.0,67264.284789644,350,160,24.5
77.0,650.0,54950.0,435,180,30.45
90.6,650.0,67264.284789644,435,210,30.45
64.0,350.0,46950.0,370,167,25.9
101.7,780.0,57833.3444159492,520,205,36.4
106.0,570.0,95800.0,455,210,31.85
83.7,1110.0,57833.3444159492,450,250,31.5
82.7,690.0,67264.284789644,495,200,34.65
83.7,1190.0,98863.0,485,230,33.95
101.7,730.0,57833.3444159492,490,250,34.3
50.8,480.0,43490.0,300,170,21.0
66.0,430.0,47500.0,355,180,24.85
92.0,990.0,57833.3444159492,590,200,41.3
77.0,640.0,56455.0,430,180,30.1
83.0,990.0,67264.284789644,425,320,29.75
64.7,550.0,67264.284789644,380,170,26.6
21.3,230.0,30990.0,135,135,9.45
46.3,470.0,34650.0,295,150,20.65
107.0,610.0,95200.0,470,210,32.9
46.3,330.0,37790.0,205,135,14.35
90.0,310.0,64248.0,310,160,21.7
87.0,480.0,61990.0,405,200,28.35
90.0,460.0,74500.0,440,200,30.8
50.8,470.0,41540.0,330,150,23.1
50.8,480.0,40540.0,300,150,21.0
108.4,910.0,57833.3444159492,610,210,42.7
51.0,240.0,67264.284789644,260,155,18.2
46.0,320.0,35490.0,265,185,18.55
96.0,660.0,86811.0,475,210,33.25
89.0,640.0,74149.0,505,210,35.35
83.7,1060.0,57833.3444159492,430,260,30.1
46.3,320.0,42440.0,200,135,14.0
90.0,450.0,94900.0,430,200,30.1
91.0,380.0,77300.0,425,200,29.75
64.7,530.0,67264.284789644,370,180,25.9
64.0,540.0,45970.0,360,180,25.2
95.0,440.0,67264.284789644,405,220,28.35
94.0,700.0,68970.0,500,200,35.0
90.0,500.0,68500.0,485,200,33.95
79.0,670.0,65275.0,450,205,31.5
66.5,500.0,55519.0,345,160,24.15
101.0,600.0,67264.284789644,460,180,32.2
45.0,230.0,39990.0,225,132,15.75
59.3,240.0,44490.0,340,160,23.8
89.0,650.0,70995.0,515,210,36.05
89.0,690.0,76650.0,445,200,31.15
37.3,390.0,36990.0,235,150,16.45
77.0,590.0,54950.0,395,180,27.65
70.5,530.0,59500.0,395,200,27.65
37.0,360.0,67264.284789644,235,160,16.45
74.0,860.0,67300.0,350,235,24.5
66.5,500.0,58197.0,345,160,24.15
73.0,440.0,67264.284789644,385,180,26.95
108.4,800.0,57833.3444159492,535,250,37.45
70.5,520.0,59500.0,385,200,26.95
90.6,550.0,89548.0,435,210,30.45
77.0,620.0,61000.0,415,180,29.05
77.0,650.0,61050.0,435,180,30.45
82.5,880.0,69200.0,440,225,30.8
58.0,460.0,40750.0,345,160,24.15
71.0,1030.0,93139.0,420,230,29.4
108.4,730.0,57833.3444159492,490,210,34.3
46.3,460.0,67264.284789644,290,150,20.3
27.0,552.9608938547486,24990.0,150,135,10.5
45.0,230.0,49445.0,225,132,15.75
72.6,430.0,67264.284789644,350,180,24.5
64.0,170.0,67264.284789644,340,160,23.8
108.4,880.0,57833.3444159492,590,210,41.3
83.7,1180.0,57833.3444159492,480,250,33.6
